,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.695 (139/200),0.4107 (23/56)
0,0.12689610031679222,0.695 (139/200),0.4107 (23/56)
0,0.16102620275609392,0.695 (139/200),0.4107 (23/56)
0,0.20433597178569418,0.695 (139/200),0.4107 (23/56)
0,0.2592943797404667,0.705 (141/200),0.4107 (23/56)
0,0.32903445623126687,0.705 (141/200),0.4107 (23/56)
0,0.41753189365604015,0.745 (149/200),0.4107 (23/56)
0,0.5298316906283709,0.745 (149/200),0.4107 (23/56)
0,0.6723357536499337,0.745 (149/200),0.4107 (23/56)
0,0.8531678524172808,0.745 (149/200),0.4107 (23/56)
0,1.0826367338740546,0.7 (140/200),0.4107 (23/56)
0,1.373823795883263,0.7 (140/200),0.4107 (23/56)
0,1.743328822199988,0.7 (140/200),0.5536 (31/56)
0,2.2122162910704493,0.7 (140/200),0.5536 (31/56)
0,2.807216203941177,0.66 (132/200),0.5536 (31/56)
0,3.562247890262442,0.66 (132/200),0.5536 (31/56)
0,4.520353656360243,0.66 (132/200),0.3214 (18/56)
0,5.736152510448679,0.66 (132/200),0.3214 (18/56)
0,7.27895384398315,0.765 (153/200),0.3214 (18/56)
0,9.23670857187386,0.765 (153/200),0.3214 (18/56)
0,11.721022975334806,0.725 (145/200),0.3214 (18/56)
0,14.873521072935118,0.77 (154/200),0.6607 (37/56)
0,18.873918221350976,0.745 (149/200),0.6607 (37/56)
0,23.95026619987486,0.73 (146/200),0.6607 (37/56)
0,30.39195382313198,0.655 (131/200),0.6607 (37/56)
0,38.56620421163472,0.655 (131/200),0.6429 (36/56)
0,48.93900918477494,0.65 (130/200),0.6429 (36/56)
0,62.10169418915616,0.65 (130/200),0.6429 (36/56)
0,78.80462815669912,0.66 (132/200),0.6429 (36/56)
0,100.0,0.66 (132/200),0.6429 (36/56)
