,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.6649 (129/194),0.5323 (33/62)
0,0.12689610031679222,0.6649 (129/194),0.5323 (33/62)
0,0.16102620275609392,0.6649 (129/194),0.5323 (33/62)
0,0.20433597178569418,0.6649 (129/194),0.5323 (33/62)
0,0.2592943797404667,0.6753 (131/194),0.5323 (33/62)
0,0.32903445623126687,0.6753 (131/194),0.5323 (33/62)
0,0.41753189365604015,0.6753 (131/194),0.6613 (41/62)
0,0.5298316906283709,0.6753 (131/194),0.6613 (41/62)
0,0.6723357536499337,0.6753 (131/194),0.6613 (41/62)
0,0.8531678524172808,0.6753 (131/194),0.6613 (41/62)
0,1.0826367338740546,0.6289 (122/194),0.6613 (41/62)
0,1.373823795883263,0.6289 (122/194),0.6613 (41/62)
0,1.743328822199988,0.6701 (130/194),0.6613 (41/62)
0,2.2122162910704493,0.6701 (130/194),0.6613 (41/62)
0,2.807216203941177,0.6289 (122/194),0.6613 (41/62)
0,3.562247890262442,0.6289 (122/194),0.6613 (41/62)
0,4.520353656360243,0.5619 (109/194),0.6613 (41/62)
0,5.736152510448679,0.5619 (109/194),0.6613 (41/62)
0,7.27895384398315,0.6701 (130/194),0.6613 (41/62)
0,9.23670857187386,0.6701 (130/194),0.6613 (41/62)
0,11.721022975334806,0.6289 (122/194),0.6613 (41/62)
0,14.873521072935118,0.6753 (131/194),0.9677 (60/62)
0,18.873918221350976,0.6495 (126/194),0.9677 (60/62)
0,23.95026619987486,0.634 (123/194),0.9677 (60/62)
0,30.39195382313198,0.5567 (108/194),0.9677 (60/62)
0,38.56620421163472,0.5515 (107/194),0.9677 (60/62)
0,48.93900918477494,0.5464 (106/194),0.9677 (60/62)
0,62.10169418915616,0.5464 (106/194),0.9677 (60/62)
0,78.80462815669912,0.5825 (113/194),0.8871 (55/62)
0,100.0,0.5825 (113/194),0.8871 (55/62)
