,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.6931 (140/202),0.4074 (22/54)
0,0.12689610031679222,0.6931 (140/202),0.4074 (22/54)
0,0.16102620275609392,0.6931 (140/202),0.4074 (22/54)
0,0.20433597178569418,0.6931 (140/202),0.4074 (22/54)
0,0.2592943797404667,0.703 (142/202),0.4074 (22/54)
0,0.32903445623126687,0.703 (142/202),0.4074 (22/54)
0,0.41753189365604015,0.7426 (150/202),0.4074 (22/54)
0,0.5298316906283709,0.7426 (150/202),0.4074 (22/54)
0,0.6723357536499337,0.7426 (150/202),0.4074 (22/54)
0,0.8531678524172808,0.7426 (150/202),0.4074 (22/54)
0,1.0826367338740546,0.7277 (147/202),0.2963 (16/54)
0,1.373823795883263,0.7277 (147/202),0.2963 (16/54)
0,1.743328822199988,0.7673 (155/202),0.2963 (16/54)
0,2.2122162910704493,0.7673 (155/202),0.2963 (16/54)
0,2.807216203941177,0.7277 (147/202),0.2963 (16/54)
0,3.562247890262442,0.7277 (147/202),0.2963 (16/54)
0,4.520353656360243,0.6733 (136/202),0.2593 (14/54)
0,5.736152510448679,0.6733 (136/202),0.2593 (14/54)
0,7.27895384398315,0.7772 (157/202),0.2593 (14/54)
0,9.23670857187386,0.7772 (157/202),0.2593 (14/54)
0,11.721022975334806,0.7376 (149/202),0.2593 (14/54)
0,14.873521072935118,0.7376 (149/202),0.7778 (42/54)
0,18.873918221350976,0.7129 (144/202),0.7778 (42/54)
0,23.95026619987486,0.698 (141/202),0.7778 (42/54)
0,30.39195382313198,0.6238 (126/202),0.7778 (42/54)
0,38.56620421163472,0.6188 (125/202),0.7778 (42/54)
0,48.93900918477494,0.6139 (124/202),0.7778 (42/54)
0,62.10169418915616,0.6139 (124/202),0.7778 (42/54)
0,78.80462815669912,0.6634 (134/202),0.6296 (34/54)
0,100.0,0.6634 (134/202),0.6296 (34/54)
