,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.5524 (116/210),1.0 (46/46)
0,0.12689610031679222,0.5524 (116/210),1.0 (46/46)
0,0.16102620275609392,0.5524 (116/210),1.0 (46/46)
0,0.20433597178569418,0.5524 (116/210),1.0 (46/46)
0,0.2592943797404667,0.5619 (118/210),1.0 (46/46)
0,0.32903445623126687,0.5619 (118/210),1.0 (46/46)
0,0.41753189365604015,0.6 (126/210),1.0 (46/46)
0,0.5298316906283709,0.6 (126/210),1.0 (46/46)
0,0.6723357536499337,0.6 (126/210),1.0 (46/46)
0,0.8531678524172808,0.6 (126/210),1.0 (46/46)
0,1.0826367338740546,0.5857 (123/210),0.8696 (40/46)
0,1.373823795883263,0.5857 (123/210),0.8696 (40/46)
0,1.743328822199988,0.6238 (131/210),0.8696 (40/46)
0,2.2122162910704493,0.6238 (131/210),0.8696 (40/46)
0,2.807216203941177,0.6238 (131/210),0.6957 (32/46)
0,3.562247890262442,0.6238 (131/210),0.6957 (32/46)
0,4.520353656360243,0.5619 (118/210),0.6957 (32/46)
0,5.736152510448679,0.5619 (118/210),0.6957 (32/46)
0,7.27895384398315,0.6619 (139/210),0.6957 (32/46)
0,9.23670857187386,0.6619 (139/210),0.6957 (32/46)
0,11.721022975334806,0.6238 (131/210),0.6957 (32/46)
0,14.873521072935118,0.7571 (159/210),0.6957 (32/46)
0,18.873918221350976,0.7333 (154/210),0.6957 (32/46)
0,23.95026619987486,0.7333 (154/210),0.6304 (29/46)
0,30.39195382313198,0.6667 (140/210),0.6087 (28/46)
0,38.56620421163472,0.6667 (140/210),0.587 (27/46)
0,48.93900918477494,0.6667 (140/210),0.5652 (26/46)
0,62.10169418915616,0.6667 (140/210),0.5652 (26/46)
0,78.80462815669912,0.681 (143/210),0.5435 (25/46)
0,100.0,0.681 (143/210),0.5435 (25/46)
