,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.5687 (120/211),0.9333 (42/45)
0,0.12689610031679222,0.5687 (120/211),0.9333 (42/45)
0,0.16102620275609392,0.5687 (120/211),0.9333 (42/45)
0,0.20433597178569418,0.5687 (120/211),0.9333 (42/45)
0,0.2592943797404667,0.5782 (122/211),0.9333 (42/45)
0,0.32903445623126687,0.5782 (122/211),0.9333 (42/45)
0,0.41753189365604015,0.6161 (130/211),0.9333 (42/45)
0,0.5298316906283709,0.6161 (130/211),0.9333 (42/45)
0,0.6723357536499337,0.6161 (130/211),0.9333 (42/45)
0,0.8531678524172808,0.6161 (130/211),0.9333 (42/45)
0,1.0826367338740546,0.5735 (121/211),0.9333 (42/45)
0,1.373823795883263,0.5735 (121/211),0.9333 (42/45)
0,1.743328822199988,0.6114 (129/211),0.9333 (42/45)
0,2.2122162910704493,0.6114 (129/211),0.9333 (42/45)
0,2.807216203941177,0.5735 (121/211),0.9333 (42/45)
0,3.562247890262442,0.5735 (121/211),0.9333 (42/45)
0,4.520353656360243,0.5213 (110/211),0.8889 (40/45)
0,5.736152510448679,0.5213 (110/211),0.8889 (40/45)
0,7.27895384398315,0.6209 (131/211),0.8889 (40/45)
0,9.23670857187386,0.6209 (131/211),0.8889 (40/45)
0,11.721022975334806,0.5829 (123/211),0.8889 (40/45)
0,14.873521072935118,0.7156 (151/211),0.8889 (40/45)
0,18.873918221350976,0.6919 (146/211),0.8889 (40/45)
0,23.95026619987486,0.6777 (143/211),0.8889 (40/45)
0,30.39195382313198,0.6351 (134/211),0.7556 (34/45)
0,38.56620421163472,0.6303 (133/211),0.7556 (34/45)
0,48.93900918477494,0.6303 (133/211),0.7333 (33/45)
0,62.10169418915616,0.6303 (133/211),0.7333 (33/45)
0,78.80462815669912,0.6445 (136/211),0.7111 (32/45)
0,100.0,0.6445 (136/211),0.7111 (32/45)
