,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.6829 (140/205),0.4314 (22/51)
0,0.12689610031679222,0.6829 (140/205),0.4314 (22/51)
0,0.16102620275609392,0.6829 (140/205),0.4314 (22/51)
0,0.20433597178569418,0.6829 (140/205),0.4314 (22/51)
0,0.2592943797404667,0.6829 (140/205),0.4706 (24/51)
0,0.32903445623126687,0.6829 (140/205),0.4706 (24/51)
0,0.41753189365604015,0.722 (148/205),0.4706 (24/51)
0,0.5298316906283709,0.722 (148/205),0.4706 (24/51)
0,0.6723357536499337,0.722 (148/205),0.4706 (24/51)
0,0.8531678524172808,0.722 (148/205),0.4706 (24/51)
0,1.0826367338740546,0.678 (139/205),0.4706 (24/51)
0,1.373823795883263,0.678 (139/205),0.4706 (24/51)
0,1.743328822199988,0.678 (139/205),0.6275 (32/51)
0,2.2122162910704493,0.678 (139/205),0.6275 (32/51)
0,2.807216203941177,0.678 (139/205),0.4706 (24/51)
0,3.562247890262442,0.678 (139/205),0.4706 (24/51)
0,4.520353656360243,0.6146 (126/205),0.4706 (24/51)
0,5.736152510448679,0.6146 (126/205),0.4706 (24/51)
0,7.27895384398315,0.7171 (147/205),0.4706 (24/51)
0,9.23670857187386,0.7171 (147/205),0.4706 (24/51)
0,11.721022975334806,0.678 (139/205),0.4706 (24/51)
0,14.873521072935118,0.8146 (167/205),0.4706 (24/51)
0,18.873918221350976,0.7902 (162/205),0.4706 (24/51)
0,23.95026619987486,0.7902 (162/205),0.4118 (21/51)
0,30.39195382313198,0.7171 (147/205),0.4118 (21/51)
0,38.56620421163472,0.7122 (146/205),0.4118 (21/51)
0,48.93900918477494,0.7073 (145/205),0.4118 (21/51)
0,62.10169418915616,0.7073 (145/205),0.4118 (21/51)
0,78.80462815669912,0.6488 (133/205),0.6863 (35/51)
0,100.0,0.6488 (133/205),0.6863 (35/51)
