,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.6636 (142/214),0.4762 (20/42)
0,0.12689610031679222,0.6636 (142/214),0.4762 (20/42)
0,0.16102620275609392,0.6636 (142/214),0.4762 (20/42)
0,0.20433597178569418,0.6636 (142/214),0.4762 (20/42)
0,0.2592943797404667,0.6636 (142/214),0.5238 (22/42)
0,0.32903445623126687,0.6636 (142/214),0.5238 (22/42)
0,0.41753189365604015,0.7009 (150/214),0.5238 (22/42)
0,0.5298316906283709,0.7009 (150/214),0.5238 (22/42)
0,0.6723357536499337,0.7009 (150/214),0.5238 (22/42)
0,0.8531678524172808,0.7009 (150/214),0.5238 (22/42)
0,1.0826367338740546,0.6589 (141/214),0.5238 (22/42)
0,1.373823795883263,0.6589 (141/214),0.5238 (22/42)
0,1.743328822199988,0.6963 (149/214),0.5238 (22/42)
0,2.2122162910704493,0.6963 (149/214),0.5238 (22/42)
0,2.807216203941177,0.6589 (141/214),0.5238 (22/42)
0,3.562247890262442,0.6589 (141/214),0.5238 (22/42)
0,4.520353656360243,0.6075 (130/214),0.4762 (20/42)
0,5.736152510448679,0.6075 (130/214),0.4762 (20/42)
0,7.27895384398315,0.7056 (151/214),0.4762 (20/42)
0,9.23670857187386,0.7056 (151/214),0.4762 (20/42)
0,11.721022975334806,0.6682 (143/214),0.4762 (20/42)
0,14.873521072935118,0.7991 (171/214),0.4762 (20/42)
0,18.873918221350976,0.7991 (171/214),0.3571 (15/42)
0,23.95026619987486,0.785 (168/214),0.3571 (15/42)
0,30.39195382313198,0.715 (153/214),0.3571 (15/42)
0,38.56620421163472,0.7103 (152/214),0.3571 (15/42)
0,48.93900918477494,0.7056 (151/214),0.3571 (15/42)
0,62.10169418915616,0.7056 (151/214),0.3571 (15/42)
0,78.80462815669912,0.6542 (140/214),0.6667 (28/42)
0,100.0,0.6542 (140/214),0.6667 (28/42)
