,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.6927 (142/205),0.3922 (20/51)
0,0.12689610031679222,0.6927 (142/205),0.3922 (20/51)
0,0.16102620275609392,0.6927 (142/205),0.3922 (20/51)
0,0.20433597178569418,0.6927 (142/205),0.3922 (20/51)
0,0.2592943797404667,0.7024 (144/205),0.3922 (20/51)
0,0.32903445623126687,0.7024 (144/205),0.3922 (20/51)
0,0.41753189365604015,0.7415 (152/205),0.3922 (20/51)
0,0.5298316906283709,0.7415 (152/205),0.3922 (20/51)
0,0.6723357536499337,0.7415 (152/205),0.3922 (20/51)
0,0.8531678524172808,0.7415 (152/205),0.3922 (20/51)
0,1.0826367338740546,0.7122 (146/205),0.3333 (17/51)
0,1.373823795883263,0.7122 (146/205),0.3333 (17/51)
0,1.743328822199988,0.7512 (154/205),0.3333 (17/51)
0,2.2122162910704493,0.7512 (154/205),0.3333 (17/51)
0,2.807216203941177,0.7122 (146/205),0.3333 (17/51)
0,3.562247890262442,0.7122 (146/205),0.3333 (17/51)
0,4.520353656360243,0.6488 (133/205),0.3333 (17/51)
0,5.736152510448679,0.6488 (133/205),0.3333 (17/51)
0,7.27895384398315,0.6488 (133/205),0.7451 (38/51)
0,9.23670857187386,0.6488 (133/205),0.7451 (38/51)
0,11.721022975334806,0.6098 (125/205),0.7451 (38/51)
0,14.873521072935118,0.7024 (144/205),0.9216 (47/51)
0,18.873918221350976,0.678 (139/205),0.9216 (47/51)
0,23.95026619987486,0.6634 (136/205),0.9216 (47/51)
0,30.39195382313198,0.6341 (130/205),0.7451 (38/51)
0,38.56620421163472,0.6293 (129/205),0.7451 (38/51)
0,48.93900918477494,0.6293 (129/205),0.7255 (37/51)
0,62.10169418915616,0.6293 (129/205),0.7255 (37/51)
0,78.80462815669912,0.6585 (135/205),0.6471 (33/51)
0,100.0,0.6585 (135/205),0.6471 (33/51)
