,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.6473 (134/207),0.5714 (28/49)
0,0.12689610031679222,0.6473 (134/207),0.5714 (28/49)
0,0.16102620275609392,0.6473 (134/207),0.5714 (28/49)
0,0.20433597178569418,0.6473 (134/207),0.5714 (28/49)
0,0.2592943797404667,0.657 (136/207),0.5714 (28/49)
0,0.32903445623126687,0.657 (136/207),0.5714 (28/49)
0,0.41753189365604015,0.6957 (144/207),0.5714 (28/49)
0,0.5298316906283709,0.6957 (144/207),0.5714 (28/49)
0,0.6723357536499337,0.6957 (144/207),0.5714 (28/49)
0,0.8531678524172808,0.6957 (144/207),0.5714 (28/49)
0,1.0826367338740546,0.6522 (135/207),0.5714 (28/49)
0,1.373823795883263,0.6522 (135/207),0.5714 (28/49)
0,1.743328822199988,0.6908 (143/207),0.5714 (28/49)
0,2.2122162910704493,0.6908 (143/207),0.5714 (28/49)
0,2.807216203941177,0.6908 (143/207),0.4082 (20/49)
0,3.562247890262442,0.6908 (143/207),0.4082 (20/49)
0,4.520353656360243,0.628 (130/207),0.4082 (20/49)
0,5.736152510448679,0.628 (130/207),0.4082 (20/49)
0,7.27895384398315,0.628 (130/207),0.8367 (41/49)
0,9.23670857187386,0.628 (130/207),0.8367 (41/49)
0,11.721022975334806,0.5894 (122/207),0.8367 (41/49)
0,14.873521072935118,0.7246 (150/207),0.8367 (41/49)
0,18.873918221350976,0.7005 (145/207),0.8367 (41/49)
0,23.95026619987486,0.686 (142/207),0.8367 (41/49)
0,30.39195382313198,0.6184 (128/207),0.8163 (40/49)
0,38.56620421163472,0.6135 (127/207),0.8163 (40/49)
0,48.93900918477494,0.6135 (127/207),0.7959 (39/49)
0,62.10169418915616,0.6135 (127/207),0.7959 (39/49)
0,78.80462815669912,0.6425 (133/207),0.7143 (35/49)
0,100.0,0.6425 (133/207),0.7143 (35/49)
