,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.5922 (122/206),0.8 (40/50)
0,0.12689610031679222,0.5922 (122/206),0.8 (40/50)
0,0.16102620275609392,0.5922 (122/206),0.8 (40/50)
0,0.20433597178569418,0.5922 (122/206),0.8 (40/50)
0,0.2592943797404667,0.5922 (122/206),0.84 (42/50)
0,0.32903445623126687,0.5922 (122/206),0.84 (42/50)
0,0.41753189365604015,0.6311 (130/206),0.84 (42/50)
0,0.5298316906283709,0.6311 (130/206),0.84 (42/50)
0,0.6723357536499337,0.6311 (130/206),0.84 (42/50)
0,0.8531678524172808,0.6311 (130/206),0.84 (42/50)
0,1.0826367338740546,0.5874 (121/206),0.84 (42/50)
0,1.373823795883263,0.5874 (121/206),0.84 (42/50)
0,1.743328822199988,0.5874 (121/206),1.0 (50/50)
0,2.2122162910704493,0.5874 (121/206),1.0 (50/50)
0,2.807216203941177,0.5485 (113/206),1.0 (50/50)
0,3.562247890262442,0.5485 (113/206),1.0 (50/50)
0,4.520353656360243,0.4854 (100/206),1.0 (50/50)
0,5.736152510448679,0.4854 (100/206),1.0 (50/50)
0,7.27895384398315,0.5874 (121/206),1.0 (50/50)
0,9.23670857187386,0.5874 (121/206),1.0 (50/50)
0,11.721022975334806,0.5485 (113/206),1.0 (50/50)
0,14.873521072935118,0.6845 (141/206),1.0 (50/50)
0,18.873918221350976,0.6845 (141/206),0.9 (45/50)
0,23.95026619987486,0.6845 (141/206),0.84 (42/50)
0,30.39195382313198,0.6117 (126/206),0.84 (42/50)
0,38.56620421163472,0.6068 (125/206),0.84 (42/50)
0,48.93900918477494,0.6019 (124/206),0.84 (42/50)
0,62.10169418915616,0.6019 (124/206),0.84 (42/50)
0,78.80462815669912,0.6117 (126/206),0.84 (42/50)
0,100.0,0.6117 (126/206),0.84 (42/50)
