,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.03731765822464267,0.6881 (139/202),0.4074 (22/54)
0,0.03759369581039333,0.6881 (139/202),0.4074 (22/54)
0,0.03787177523779144,0.6881 (139/202),0.4074 (22/54)
0,0.03815191161027769,0.6881 (139/202),0.4074 (22/54)
0,0.03843412014301245,0.6881 (139/202),0.4074 (22/54)
0,0.03871841616370229,0.6881 (139/202),0.4074 (22/54)
0,0.039004815113432206,0.6881 (139/202),0.4074 (22/54)
0,0.03929333254750459,0.6881 (139/202),0.4074 (22/54)
0,0.03958398413628382,0.6881 (139/202),0.4074 (22/54)
0,0.03987678566604746,0.6881 (139/202),0.4074 (22/54)
0,0.04017175303984384,0.6881 (139/202),0.4074 (22/54)
0,0.040468902278355486,0.6881 (139/202),0.4074 (22/54)
0,0.04076824952076957,0.6881 (139/202),0.4074 (22/54)
0,0.04106981102565425,0.6881 (139/202),0.4074 (22/54)
0,0.041373603171841786,0.6881 (139/202),0.4074 (22/54)
0,0.04167964245931833,0.6881 (139/202),0.4074 (22/54)
0,0.041987945510119716,0.6881 (139/202),0.4074 (22/54)
0,0.04229852906923468,0.6881 (139/202),0.4074 (22/54)
0,0.04261141000551394,0.6881 (139/202),0.4074 (22/54)
0,0.04292660531258677,0.6881 (139/202),0.4074 (22/54)
0,0.04324413210978367,0.6881 (139/202),0.4074 (22/54)
0,0.043564007643066324,0.6881 (139/202),0.4074 (22/54)
0,0.04388624928596438,0.6881 (139/202),0.4074 (22/54)
0,0.044210874540518794,0.6881 (139/202),0.4074 (22/54)
0,0.04453790103823276,0.6881 (139/202),0.4074 (22/54)
0,0.04486734654102905,0.6881 (139/202),0.4074 (22/54)
0,0.04519922894221481,0.6881 (139/202),0.4074 (22/54)
0,0.045533566267453585,0.6881 (139/202),0.4074 (22/54)
0,0.04587037667574404,0.6881 (139/202),0.4074 (22/54)
0,0.04620967846040657,0.6881 (139/202),0.4074 (22/54)
0,0.04655149005007651,0.6931 (140/202),0.4074 (22/54)
0,0.04689583000970547,0.6931 (140/202),0.4074 (22/54)
0,0.04724271704156928,0.6931 (140/202),0.4074 (22/54)
0,0.04759216998628393,0.6931 (140/202),0.4074 (22/54)
0,0.04794420782382904,0.6931 (140/202),0.4074 (22/54)
0,0.048298849674578356,0.6931 (140/202),0.4074 (22/54)
0,0.04865611480033864,0.6931 (140/202),0.4074 (22/54)
0,0.04901602260539553,0.6931 (140/202),0.4074 (22/54)
0,0.04937859263756755,0.6931 (140/202),0.4074 (22/54)
0,0.04974384458926801,0.6931 (140/202),0.4074 (22/54)
0,0.050111798298574185,0.6931 (140/202),0.4074 (22/54)
0,0.05048247375030524,0.6931 (140/202),0.4074 (22/54)
0,0.05085589107710725,0.6931 (140/202),0.4074 (22/54)
0,0.05123207056054689,0.6931 (140/202),0.4074 (22/54)
0,0.051611032632213116,0.6931 (140/202),0.4074 (22/54)
0,0.05199279787482652,0.6931 (140/202),0.4074 (22/54)
0,0.052377387023357654,0.6931 (140/202),0.4074 (22/54)
0,0.052764820966152814,0.6931 (140/202),0.4074 (22/54)
0,0.05315512074606897,0.6931 (140/202),0.4074 (22/54)
0,0.053548307561616326,0.6931 (140/202),0.4074 (22/54)
0,0.05394440276810979,0.6931 (140/202),0.4074 (22/54)
0,0.05434342787882907,0.6931 (140/202),0.4074 (22/54)
0,0.05474540456618673,0.6931 (140/202),0.4074 (22/54)
0,0.05515035466290572,0.6931 (140/202),0.4074 (22/54)
0,0.055558300163204836,0.6931 (140/202),0.4074 (22/54)
0,0.05596926322399342,0.6931 (140/202),0.4074 (22/54)
0,0.05638326616607499,0.6931 (140/202),0.4074 (22/54)
0,0.05680033147535912,0.6931 (140/202),0.4074 (22/54)
0,0.05722048180408323,0.6931 (140/202),0.4074 (22/54)
0,0.0576437399720424,0.6931 (140/202),0.4074 (22/54)
0,0.05807012896782928,0.6931 (140/202),0.4074 (22/54)
0,0.05849967195008229,0.6931 (140/202),0.4074 (22/54)
0,0.05893239224874355,0.6931 (140/202),0.4074 (22/54)
0,0.05936831336632627,0.6931 (140/202),0.4074 (22/54)
0,0.059807458979190785,0.6931 (140/202),0.4074 (22/54)
0,0.060249852938831,0.6931 (140/202),0.4074 (22/54)
0,0.06069551927316939,0.6931 (140/202),0.4074 (22/54)
0,0.06114448218786227,0.6931 (140/202),0.4074 (22/54)
0,0.06159676606761463,0.6931 (140/202),0.4074 (22/54)
0,0.062052395477504144,0.6931 (140/202),0.4074 (22/54)
0,0.06251139516431586,0.6931 (140/202),0.4074 (22/54)
0,0.06297379005788588,0.6931 (140/202),0.4074 (22/54)
0,0.0634396052724555,0.6931 (140/202),0.4074 (22/54)
0,0.06390886610803552,0.6931 (140/202),0.4074 (22/54)
0,0.06438159805177991,0.6931 (140/202),0.4074 (22/54)
0,0.06485782677937059,0.6931 (140/202),0.4074 (22/54)
0,0.06533757815641143,0.6931 (140/202),0.4074 (22/54)
0,0.0658208782398337,0.6931 (140/202),0.4074 (22/54)
0,0.06630775327931075,0.6931 (140/202),0.4074 (22/54)
0,0.06679822971868403,0.6931 (140/202),0.4074 (22/54)
0,0.06729233419739941,0.6931 (140/202),0.4074 (22/54)
0,0.06779009355195373,0.6931 (140/202),0.4074 (22/54)
0,0.06829153481735281,0.6931 (140/202),0.4074 (22/54)
0,0.0687966852285794,0.6931 (140/202),0.4074 (22/54)
0,0.0693055722220726,0.6931 (140/202),0.4074 (22/54)
0,0.06981822343721822,0.6931 (140/202),0.4074 (22/54)
0,0.07033466671784945,0.6931 (140/202),0.4074 (22/54)
0,0.07085493011375982,0.6931 (140/202),0.4074 (22/54)
0,0.071379041882226,0.6931 (140/202),0.4074 (22/54)
0,0.07190703048954318,0.6931 (140/202),0.4074 (22/54)
0,0.07243892461257065,0.6931 (140/202),0.4074 (22/54)
0,0.07297475314028957,0.6931 (140/202),0.4074 (22/54)
0,0.07351454517537222,0.6931 (140/202),0.4074 (22/54)
0,0.07405833003576218,0.6931 (140/202),0.4074 (22/54)
0,0.07460613725626726,0.6931 (140/202),0.4074 (22/54)
0,0.07515799659016315,0.6931 (140/202),0.4074 (22/54)
0,0.07571393801080954,0.6931 (140/202),0.4074 (22/54)
0,0.07627399171327849,0.6931 (140/202),0.4074 (22/54)
0,0.0768381881159937,0.6931 (140/202),0.4074 (22/54)
0,0.07740655786238339,0.6931 (140/202),0.4074 (22/54)
0,0.07797913182254392,0.6931 (140/202),0.4074 (22/54)
0,0.07855594109491719,0.6931 (140/202),0.4074 (22/54)
0,0.07913701700797905,0.6931 (140/202),0.4074 (22/54)
0,0.07972239112194118,0.6931 (140/202),0.4074 (22/54)
0,0.08031209523046537,0.6931 (140/202),0.4074 (22/54)
0,0.08090616136238989,0.6931 (140/202),0.4074 (22/54)
0,0.08150462178346966,0.6931 (140/202),0.4074 (22/54)
0,0.08210750899812816,0.6931 (140/202),0.4074 (22/54)
0,0.08271485575122312,0.6931 (140/202),0.4074 (22/54)
0,0.0833266950298252,0.6931 (140/202),0.4074 (22/54)
0,0.08394306006500915,0.6931 (140/202),0.4074 (22/54)
0,0.08456398433365926,0.6931 (140/202),0.4074 (22/54)
0,0.08518950156028708,0.6931 (140/202),0.4074 (22/54)
0,0.08581964571886333,0.6931 (140/202),0.4074 (22/54)
0,0.08645445103466345,0.6931 (140/202),0.4074 (22/54)
0,0.08709395198612584,0.6931 (140/202),0.4074 (22/54)
0,0.0877381833067252,0.6931 (140/202),0.4074 (22/54)
0,0.08838717998685837,0.6931 (140/202),0.4074 (22/54)
0,0.08904097727574542,0.6931 (140/202),0.4074 (22/54)
0,0.08969961068334356,0.6931 (140/202),0.4074 (22/54)
0,0.09036311598227612,0.6931 (140/202),0.4074 (22/54)
0,0.09103152920977564,0.6931 (140/202),0.4074 (22/54)
0,0.09170488666964068,0.6931 (140/202),0.4074 (22/54)
0,0.09238322493420822,0.6931 (140/202),0.4074 (22/54)
0,0.09306658084633947,0.6931 (140/202),0.4074 (22/54)
0,0.09375499152142111,0.6931 (140/202),0.4074 (22/54)
0,0.09444849434938153,0.6931 (140/202),0.4074 (22/54)
0,0.0951471269967209,0.6931 (140/202),0.4074 (22/54)
0,0.09585092740855775,0.6931 (140/202),0.4074 (22/54)
0,0.09655993381068906,0.6931 (140/202),0.4074 (22/54)
0,0.09727418471166731,0.6931 (140/202),0.4074 (22/54)
0,0.09799371890489128,0.6931 (140/202),0.4074 (22/54)
0,0.09871857547071332,0.6931 (140/202),0.4074 (22/54)
0,0.09944879377856226,0.6931 (140/202),0.4074 (22/54)
0,0.10018441348908101,0.6931 (140/202),0.4074 (22/54)
0,0.10092547455628148,0.6931 (140/202),0.4074 (22/54)
0,0.10167201722971382,0.6931 (140/202),0.4074 (22/54)
0,0.10242408205665306,0.6931 (140/202),0.4074 (22/54)
0,0.10318170988430093,0.6931 (140/202),0.4074 (22/54)
0,0.10394494186200536,0.6931 (140/202),0.4074 (22/54)
0,0.10471381944349403,0.6931 (140/202),0.4074 (22/54)
0,0.10548838438912692,0.6931 (140/202),0.4074 (22/54)
0,0.10626867876816401,0.6931 (140/202),0.4074 (22/54)
0,0.10705474496105018,0.6931 (140/202),0.4074 (22/54)
0,0.10784662566171781,0.6931 (140/202),0.4074 (22/54)
0,0.10864436387990432,0.6931 (140/202),0.4074 (22/54)
0,0.10944800294348911,0.6931 (140/202),0.4074 (22/54)
0,0.11025758650084658,0.6931 (140/202),0.4074 (22/54)
0,0.11107315852321656,0.6931 (140/202),0.4074 (22/54)
0,0.11189476330709357,0.6931 (140/202),0.4074 (22/54)
0,0.11272244547663118,0.6931 (140/202),0.4074 (22/54)
0,0.1135562499860668,0.6931 (140/202),0.4074 (22/54)
0,0.11439622212216265,0.6931 (140/202),0.4074 (22/54)
0,0.11524240750666649,0.6931 (140/202),0.4074 (22/54)
0,0.11609485209878807,0.6931 (140/202),0.4074 (22/54)
0,0.11695360219769627,0.6931 (140/202),0.4074 (22/54)
0,0.11781870444503345,0.6931 (140/202),0.4074 (22/54)
0,0.11869020582744863,0.6931 (140/202),0.4074 (22/54)
0,0.1195681536791503,0.6931 (140/202),0.4074 (22/54)
0,0.12045259568447597,0.6931 (140/202),0.4074 (22/54)
0,0.12134357988048299,0.6931 (140/202),0.4074 (22/54)
0,0.12224115465955733,0.6931 (140/202),0.4074 (22/54)
0,0.12314536877204176,0.6931 (140/202),0.4074 (22/54)
0,0.12405627132888458,0.6931 (140/202),0.4074 (22/54)
0,0.12497391180430556,0.6931 (140/202),0.4074 (22/54)
0,0.12589834003848402,0.6931 (140/202),0.4074 (22/54)
0,0.1268296062402655,0.6931 (140/202),0.4074 (22/54)
0,0.12776776098988873,0.6931 (140/202),0.4074 (22/54)
0,0.12871285524173362,0.6931 (140/202),0.4074 (22/54)
0,0.12966494032708725,0.6931 (140/202),0.4074 (22/54)
0,0.13062406795693307,0.6931 (140/202),0.4074 (22/54)
0,0.131590290224759,0.6931 (140/202),0.4074 (22/54)
0,0.13256365960938665,0.6931 (140/202),0.4074 (22/54)
0,0.13354422897782275,0.6931 (140/202),0.4074 (22/54)
0,0.13453205158812884,0.6931 (140/202),0.4074 (22/54)
0,0.13552718109231496,0.6931 (140/202),0.4074 (22/54)
0,0.13652967153925344,0.6931 (140/202),0.4074 (22/54)
0,0.1375395773776143,0.6931 (140/202),0.4074 (22/54)
0,0.1385569534588234,0.6931 (140/202),0.4074 (22/54)
0,0.13958185504004023,0.6931 (140/202),0.4074 (22/54)
0,0.14061433778716,0.6931 (140/202),0.4074 (22/54)
0,0.14165445777783667,0.6931 (140/202),0.4074 (22/54)
0,0.14270227150452966,0.6931 (140/202),0.4074 (22/54)
0,0.1437578358775706,0.6931 (140/202),0.4074 (22/54)
0,0.1448212082282554,0.6931 (140/202),0.4074 (22/54)
0,0.14589244631195777,0.6931 (140/202),0.4074 (22/54)
0,0.14697160831126596,0.6931 (140/202),0.4074 (22/54)
0,0.14805875283914388,0.6931 (140/202),0.4074 (22/54)
0,0.1491539389421129,0.6931 (140/202),0.4074 (22/54)
0,0.15025722610346004,0.6931 (140/202),0.4074 (22/54)
0,0.15136867424646827,0.6931 (140/202),0.4074 (22/54)
0,0.15248834373767112,0.6931 (140/202),0.4074 (22/54)
0,0.15361629539013236,0.6931 (140/202),0.4074 (22/54)
0,0.15475259046674725,0.6931 (140/202),0.4074 (22/54)
0,0.1558972906835711,0.6931 (140/202),0.4074 (22/54)
0,0.1570504582131711,0.6931 (140/202),0.4074 (22/54)
0,0.1582121556880026,0.6931 (140/202),0.4074 (22/54)
0,0.15938244620381237,0.6931 (140/202),0.4074 (22/54)
0,0.1605613933230635,0.6931 (140/202),0.4074 (22/54)
0,0.16174906107838902,0.6931 (140/202),0.4074 (22/54)
0,0.16294551397606943,0.6931 (140/202),0.4074 (22/54)
0,0.16415081699953585,0.6931 (140/202),0.4074 (22/54)
0,0.1653650356129009,0.6931 (140/202),0.4074 (22/54)
0,0.16658823576451223,0.6931 (140/202),0.4074 (22/54)
0,0.1678204838905358,0.6931 (140/202),0.4074 (22/54)
0,0.16906184691856385,0.6931 (140/202),0.4074 (22/54)
0,0.17031239227124959,0.6931 (140/202),0.4074 (22/54)
0,0.17157218786997064,0.6931 (140/202),0.4074 (22/54)
0,0.17284130213851595,0.6931 (140/202),0.4074 (22/54)
0,0.17411980400680352,0.6931 (140/202),0.4074 (22/54)
0,0.17540776291462348,0.6931 (140/202),0.4074 (22/54)
0,0.17670524881541108,0.6931 (140/202),0.4074 (22/54)
0,0.17801233218004386,0.6931 (140/202),0.4074 (22/54)
0,0.17932908400067077,0.6931 (140/202),0.4074 (22/54)
0,0.18065557579456742,0.6931 (140/202),0.4074 (22/54)
0,0.1819918796080203,0.6931 (140/202),0.4074 (22/54)
0,0.18333806802024108,0.6931 (140/202),0.4074 (22/54)
0,0.1846942141473066,0.6931 (140/202),0.4074 (22/54)
0,0.18606039164613153,0.6931 (140/202),0.4074 (22/54)
0,0.18743667471846837,0.6931 (140/202),0.4074 (22/54)
0,0.18882313811493745,0.6931 (140/202),0.4074 (22/54)
0,0.1902198571390883,0.6931 (140/202),0.4074 (22/54)
0,0.19162690765148735,0.6931 (140/202),0.4074 (22/54)
0,0.19304436607383976,0.6931 (140/202),0.4074 (22/54)
0,0.1944723093931397,0.6931 (140/202),0.4074 (22/54)
0,0.19591081516585138,0.6931 (140/202),0.4074 (22/54)
0,0.19735996152212307,0.6931 (140/202),0.4074 (22/54)
0,0.19881982717002813,0.6931 (140/202),0.4074 (22/54)
0,0.20029049139984156,0.6931 (140/202),0.4074 (22/54)
0,0.20177203408834618,0.6931 (140/202),0.4074 (22/54)
0,0.20326453570317043,0.6931 (140/202),0.4074 (22/54)
0,0.2047680773071607,0.6931 (140/202),0.4074 (22/54)
0,0.20628274056278148,0.6931 (140/202),0.4074 (22/54)
0,0.2078086077365525,0.6931 (140/202),0.4074 (22/54)
0,0.20934576170351638,0.6931 (140/202),0.4074 (22/54)
0,0.2108942859517395,0.6931 (140/202),0.4074 (22/54)
0,0.21245426458684835,0.6931 (140/202),0.4074 (22/54)
0,0.2140257823365947,0.6931 (140/202),0.4074 (22/54)
0,0.21560892455545946,0.6931 (140/202),0.4074 (22/54)
0,0.2172037772292876,0.6931 (140/202),0.4074 (22/54)
0,0.21881042697996014,0.6931 (140/202),0.4074 (22/54)
0,0.22042896107009613,0.6931 (140/202),0.4074 (22/54)
0,0.22205946740779403,0.6931 (140/202),0.4074 (22/54)
0,0.22370203455140583,0.6931 (140/202),0.4074 (22/54)
0,0.22535675171434655,0.6931 (140/202),0.4074 (22/54)
0,0.22702370876994146,0.6931 (140/202),0.4074 (22/54)
0,0.22870299625630475,0.6931 (140/202),0.4074 (22/54)
0,0.2303947053812587,0.6931 (140/202),0.4074 (22/54)
0,0.23209892802728715,0.6931 (140/202),0.4074 (22/54)
0,0.23381575675652538,0.6931 (140/202),0.4074 (22/54)
0,0.23554528481578937,0.6931 (140/202),0.4074 (22/54)
0,0.23728760614163763,0.6931 (140/202),0.4074 (22/54)
0,0.23904281536547492,0.703 (142/202),0.4074 (22/54)
0,0.24081100781869166,0.703 (142/202),0.4074 (22/54)
0,0.24259227953784124,0.703 (142/202),0.4074 (22/54)
0,0.24438672726985794,0.703 (142/202),0.4074 (22/54)
0,0.2461944484773087,0.703 (142/202),0.4074 (22/54)
0,0.2480155413436886,0.703 (142/202),0.4074 (22/54)
0,0.24985010477875313,0.703 (142/202),0.4074 (22/54)
0,0.25169823842388966,0.703 (142/202),0.4074 (22/54)
0,0.25356004265753135,0.703 (142/202),0.4074 (22/54)
0,0.2554356186006062,0.703 (142/202),0.4074 (22/54)
0,0.25732506812203104,0.703 (142/202),0.4074 (22/54)
0,0.25922849384424407,0.703 (142/202),0.4074 (22/54)
0,0.26114599914877795,0.703 (142/202),0.4074 (22/54)
0,0.26307768818187705,0.703 (142/202),0.4074 (22/54)
0,0.2650236658601507,0.703 (142/202),0.4074 (22/54)
0,0.2669840378762738,0.703 (142/202),0.4074 (22/54)
0,0.26895891070472616,0.703 (142/202),0.4074 (22/54)
0,0.2709483916075778,0.703 (142/202),0.4074 (22/54)
0,0.27295258864031124,0.703 (142/202),0.4074 (22/54)
0,0.2749716106576929,0.703 (142/202),0.4074 (22/54)
0,0.2770055673196843,0.703 (142/202),0.4074 (22/54)
0,0.279054569097398,0.703 (142/202),0.4074 (22/54)
0,0.2811187272790998,0.703 (142/202),0.4074 (22/54)
0,0.28319815397624953,0.703 (142/202),0.4074 (22/54)
0,0.28529296212959276,0.703 (142/202),0.4074 (22/54)
0,0.2874032655152944,0.703 (142/202),0.4074 (22/54)
0,0.28952917875111733,0.703 (142/202),0.4074 (22/54)
0,0.2916708173026507,0.703 (142/202),0.4074 (22/54)
0,0.29382829748957706,0.703 (142/202),0.4074 (22/54)
0,0.29600173649199285,0.703 (142/202),0.4074 (22/54)
0,0.2981912523567721,0.703 (142/202),0.4074 (22/54)
0,0.3003969640039773,0.703 (142/202),0.4074 (22/54)
0,0.302618991233321,0.703 (142/202),0.4074 (22/54)
0,0.3048574547306686,0.703 (142/202),0.4074 (22/54)
0,0.307112476074596,0.703 (142/202),0.4074 (22/54)
0,0.30938417774299193,0.703 (142/202),0.4074 (22/54)
0,0.31167268311970986,0.703 (142/202),0.4074 (22/54)
0,0.3139781165012717,0.703 (142/202),0.4074 (22/54)
0,0.31630060310361513,0.703 (142/202),0.4074 (22/54)
0,0.3186402690688968,0.703 (142/202),0.4074 (22/54)
0,0.32099724147234265,0.703 (142/202),0.4074 (22/54)
0,0.323371648329152,0.703 (142/202),0.4074 (22/54)
0,0.3257636186014468,0.703 (142/202),0.4074 (22/54)
0,0.3281732822052786,0.703 (142/202),0.4074 (22/54)
0,0.3306007700176839,0.703 (142/202),0.4074 (22/54)
0,0.3330462138837922,0.703 (142/202),0.4074 (22/54)
0,0.33550974662398925,0.703 (142/202),0.4074 (22/54)
0,0.3379915020411273,0.703 (142/202),0.4074 (22/54)
0,0.3404916149277949,0.703 (142/202),0.4074 (22/54)
0,0.34301022107363716,0.703 (142/202),0.4074 (22/54)
0,0.3455474572727304,0.703 (142/202),0.4074 (22/54)
0,0.3481034613310148,0.703 (142/202),0.4074 (22/54)
0,0.35067837207377467,0.703 (142/202),0.4074 (22/54)
0,0.3532723293531816,0.703 (142/202),0.4074 (22/54)
0,0.35588547405588916,0.703 (142/202),0.4074 (22/54)
0,0.3585179481106848,0.703 (142/202),0.4074 (22/54)
0,0.36116989449620096,0.703 (142/202),0.4074 (22/54)
0,0.3638414572486764,0.7426 (150/202),0.4074 (22/54)
0,0.3665327814697825,0.7426 (150/202),0.4074 (22/54)
0,0.3692440133345032,0.7426 (150/202),0.4074 (22/54)
0,0.37197530009907354,0.7426 (150/202),0.4074 (22/54)
0,0.37472679010898086,0.7426 (150/202),0.4074 (22/54)
0,0.3774986328070172,0.7426 (150/202),0.4074 (22/54)
0,0.3802909787413992,0.7426 (150/202),0.4074 (22/54)
0,0.3831039795739441,0.7426 (150/202),0.4074 (22/54)
0,0.3859377880883062,0.7426 (150/202),0.4074 (22/54)
0,0.3887925581982782,0.7426 (150/202),0.4074 (22/54)
0,0.3916684449561461,0.7426 (150/202),0.4074 (22/54)
0,0.3945656045611138,0.7426 (150/202),0.4074 (22/54)
0,0.39748419436778504,0.7426 (150/202),0.4074 (22/54)
0,0.40042437289471333,0.7426 (150/202),0.4074 (22/54)
0,0.4033862998330067,0.7426 (150/202),0.4074 (22/54)
0,0.40637013605500416,0.7426 (150/202),0.4074 (22/54)
0,0.4093760436230126,0.7426 (150/202),0.4074 (22/54)
0,0.41240418579810806,0.7426 (150/202),0.4074 (22/54)
0,0.4154547270490062,0.7426 (150/202),0.4074 (22/54)
0,0.41852783306099045,0.7426 (150/202),0.4074 (22/54)
0,0.42162367074491397,0.7426 (150/202),0.4074 (22/54)
0,0.42474240824626447,0.7426 (150/202),0.4074 (22/54)
0,0.4278842149542958,0.7426 (150/202),0.4074 (22/54)
0,0.4310492615112317,0.7426 (150/202),0.4074 (22/54)
0,0.4342377198215286,0.7426 (150/202),0.4074 (22/54)
0,0.43744976306121586,0.7426 (150/202),0.4074 (22/54)
0,0.4406855656873006,0.7426 (150/202),0.4074 (22/54)
0,0.4439453034472424,0.7426 (150/202),0.4074 (22/54)
0,0.447229153388502,0.7426 (150/202),0.4074 (22/54)
0,0.45053729386815217,0.7426 (150/202),0.4074 (22/54)
0,0.4538699045625685,0.7426 (150/202),0.4074 (22/54)
0,0.4572271664771872,0.7426 (150/202),0.4074 (22/54)
0,0.46060926195633534,0.7426 (150/202),0.4074 (22/54)
0,0.4640163746931382,0.7426 (150/202),0.4074 (22/54)
0,0.46744868973949083,0.7426 (150/202),0.4074 (22/54)
0,0.4709063935161123,0.7426 (150/202),0.4074 (22/54)
0,0.4743896738226702,0.7426 (150/202),0.4074 (22/54)
0,0.47789871984797955,0.7426 (150/202),0.4074 (22/54)
0,0.4814337221802822,0.7426 (150/202),0.4074 (22/54)
0,0.48499487281759257,0.7426 (150/202),0.4074 (22/54)
0,0.48858236517812953,0.7426 (150/202),0.4074 (22/54)
0,0.4921963941108196,0.7426 (150/202),0.4074 (22/54)
0,0.495837155905884,0.7426 (150/202),0.4074 (22/54)
0,0.4995048483054937,0.7426 (150/202),0.4074 (22/54)
0,0.5031996705145134,0.7426 (150/202),0.4074 (22/54)
0,0.5069218232113203,0.7426 (150/202),0.4074 (22/54)
0,0.5106715085587025,0.7426 (150/202),0.4074 (22/54)
0,0.5144489302148428,0.7426 (150/202),0.4074 (22/54)
0,0.5182542933443749,0.7426 (150/202),0.4074 (22/54)
0,0.5220878046295296,0.7426 (150/202),0.4074 (22/54)
0,0.5259496722813602,0.7426 (150/202),0.4074 (22/54)
0,0.5298401060510496,0.7426 (150/202),0.4074 (22/54)
0,0.5337593172413071,0.7426 (150/202),0.4074 (22/54)
0,0.5377075187178386,0.7426 (150/202),0.4074 (22/54)
0,0.5416849249209121,0.7426 (150/202),0.4074 (22/54)
0,0.5456917518770038,0.7426 (150/202),0.4074 (22/54)
0,0.5497282172105302,0.7426 (150/202),0.4074 (22/54)
0,0.5537945401556722,0.7426 (150/202),0.4074 (22/54)
0,0.5578909415682759,0.7426 (150/202),0.4074 (22/54)
0,0.5620176439378527,0.7426 (150/202),0.4074 (22/54)
0,0.566174871399662,0.7426 (150/202),0.4074 (22/54)
0,0.570362849746884,0.7426 (150/202),0.4074 (22/54)
0,0.5745818064428873,0.7426 (150/202),0.4074 (22/54)
0,0.5788319706335768,0.7426 (150/202),0.4074 (22/54)
0,0.5831135731598441,0.7426 (150/202),0.4074 (22/54)
0,0.5874268465701038,0.7426 (150/202),0.4074 (22/54)
0,0.5917720251329225,0.7426 (150/202),0.4074 (22/54)
0,0.5961493448497482,0.7426 (150/202),0.4074 (22/54)
0,0.6005590434677209,0.7426 (150/202),0.4074 (22/54)
0,0.6050013604925901,0.7426 (150/202),0.4074 (22/54)
0,0.6094765372017207,0.7426 (150/202),0.4074 (22/54)
0,0.6139848166572027,0.7426 (150/202),0.4074 (22/54)
0,0.6185264437190455,0.7426 (150/202),0.4074 (22/54)
0,0.6231016650584817,0.7426 (150/202),0.4074 (22/54)
0,0.6277107291713634,0.7426 (150/202),0.4074 (22/54)
0,0.6323538863916577,0.7426 (150/202),0.4074 (22/54)
0,0.6370313889050484,0.7426 (150/202),0.4074 (22/54)
0,0.6417434907626255,0.7426 (150/202),0.4074 (22/54)
0,0.646490447894688,0.7426 (150/202),0.4074 (22/54)
0,0.651272518124644,0.7426 (150/202),0.4074 (22/54)
0,0.656089961183012,0.7426 (150/202),0.4074 (22/54)
0,0.6609430387215334,0.7426 (150/202),0.4074 (22/54)
0,0.6658320143273752,0.7426 (150/202),0.4074 (22/54)
0,0.6707571535374526,0.7426 (150/202),0.4074 (22/54)
0,0.6757187238528487,0.7426 (150/202),0.4074 (22/54)
0,0.6807169947533432,0.7426 (150/202),0.4074 (22/54)
0,0.6857522377120534,0.7426 (150/202),0.4074 (22/54)
0,0.6908247262101708,0.7426 (150/202),0.4074 (22/54)
0,0.6959347357518203,0.7426 (150/202),0.4074 (22/54)
0,0.7010825438790228,0.7426 (150/202),0.4074 (22/54)
0,0.7062684301867675,0.7426 (150/202),0.4074 (22/54)
0,0.7114926763382035,0.7426 (150/202),0.4074 (22/54)
0,0.7167555660799292,0.7426 (150/202),0.4074 (22/54)
0,0.7220573852574098,0.7426 (150/202),0.4074 (22/54)
0,0.7273984218305006,0.7426 (150/202),0.4074 (22/54)
0,0.7327789658890855,0.7426 (150/202),0.4074 (22/54)
0,0.7381993096688392,0.7426 (150/202),0.4074 (22/54)
0,0.7436597475670902,0.7426 (150/202),0.4074 (22/54)
0,0.7491605761588167,0.7426 (150/202),0.4074 (22/54)
0,0.7547020942127515,0.7426 (150/202),0.4074 (22/54)
0,0.7602846027076151,0.7426 (150/202),0.4074 (22/54)
0,0.7659084048484539,0.7426 (150/202),0.4074 (22/54)
0,0.7715738060831145,0.7426 (150/202),0.4074 (22/54)
0,0.777281114118832,0.7426 (150/202),0.4074 (22/54)
0,0.7830306389389406,0.7426 (150/202),0.4074 (22/54)
0,0.7888226928197172,0.7426 (150/202),0.4074 (22/54)
0,0.7946575903473314,0.7426 (150/202),0.4074 (22/54)
0,0.8005356484349392,0.7426 (150/202),0.4074 (22/54)
0,0.8064571863398934,0.7426 (150/202),0.4074 (22/54)
0,0.8124225256810823,0.7426 (150/202),0.4074 (22/54)
0,0.8184319904564041,0.7426 (150/202),0.4074 (22/54)
0,0.824485907060355,0.7426 (150/202),0.4074 (22/54)
0,0.8305846043017624,0.7426 (150/202),0.4074 (22/54)
0,0.8367284134216433,0.7426 (150/202),0.4074 (22/54)
0,0.8429176681111923,0.7426 (150/202),0.4074 (22/54)
0,0.8491527045299131,0.7426 (150/202),0.4074 (22/54)
0,0.8554338613238656,0.7426 (150/202),0.4074 (22/54)
0,0.8617614796440664,0.7426 (150/202),0.4074 (22/54)
0,0.8681359031650153,0.7426 (150/202),0.4074 (22/54)
0,0.8745574781033607,0.7426 (150/202),0.2963 (16/54)
0,0.8810265532367102,0.7426 (150/202),0.2963 (16/54)
0,0.8875434799225633,0.7426 (150/202),0.2963 (16/54)
0,0.8941086121174022,0.7426 (150/202),0.2963 (16/54)
0,0.9007223063959144,0.7426 (150/202),0.2963 (16/54)
0,0.9073849219703579,0.7426 (150/202),0.2963 (16/54)
0,0.9140968207100779,0.7426 (150/202),0.2963 (16/54)
0,0.9208583671611512,0.7426 (150/202),0.2963 (16/54)
0,0.9276699285661923,0.7426 (150/202),0.2963 (16/54)
0,0.9345318748842967,0.7426 (150/202),0.2963 (16/54)
