,n_estimators,min_samples_split,min_samples_leaf,max_depth,class_weight,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,alpha_h,alpha_p,num_neighbor
0,260,2,8,30,,0.6457013763560565,0.07000819706827457,0.9876662879125399,0.12745270237077141,0.7459297468477395,0.03431215342382803,0.014617907647574532,0.003513243308573447,0.025434127496947425,0.07960012354970274,0.6917436175991309,0.06286672254819782,0.9931699477701889,0.11673151750972763,0.8152173913043478,0.01,0.01,2
0,440,6,2,25,,0.6693008616212711,0.23121769196952527,0.9250951092529507,0.3348254484710376,0.6254792793946758,0.028597786886863194,0.05002311193841143,0.009917721390096506,0.061266041294665466,0.07364415082574224,0.7392721347093971,0.28583403185247275,0.9566090799517879,0.41534713763702796,0.7594654788418709,0.01,0.01,2
0,260,2,8,30,,0.6443838245884848,0.0664627250212014,0.9877823223337283,0.12131982346557854,0.7361263157041145,0.03462150443618291,0.01499248786281766,0.0038379141942201213,0.026257057309976174,0.08596645369225694,0.6914720260727866,0.06286672254819782,0.9927681799919646,0.1166407465007776,0.8064516129032258,0.01,0.012742749857031334,2
0,440,6,2,25,,0.6736126262090099,0.23711946907051182,0.9270108850692216,0.3416223383203419,0.6359772824148557,0.027153321521905045,0.05415384042196136,0.007108783200061259,0.06387128441775675,0.06265266248537808,0.7400869092884302,0.2808046940486169,0.9602249899558055,0.41180086047940995,0.771889400921659,0.01,0.012742749857031334,2
0,260,2,8,30,,0.6436651469461652,0.06469722252347465,0.9875059362322074,0.11839021663786646,0.7296683226684655,0.03484244755642996,0.014419767013567219,0.0041293228367141185,0.025407636853989033,0.08914293788168744,0.6931015752308528,0.06621961441743504,0.9935717155484131,0.12267080745341614,0.8315789473684211,0.01,0.016237767391887217,2
0,440,6,2,25,,0.6758883048469425,0.23502553680574928,0.9311642000113547,0.34008976634345767,0.6454714338825225,0.029482836190763275,0.05802180682527485,0.00782304105131549,0.06878070545336361,0.0602670054163055,0.7430744160782183,0.30259849119865884,0.9541984732824428,0.4328537170263789,0.76,0.01,0.016237767391887217,2
0,260,2,8,30,,0.6437849504632326,0.06010987632060552,0.9898262032228663,0.11075352513576467,0.7491496168151839,0.03439152985583723,0.015089630825234963,0.0034271477143639965,0.026556306222509898,0.0840179425278354,0.6909288430200978,0.0586756077116513,0.9939734833266372,0.10954616588419405,0.8235294117647058,0.01,0.0206913808111479,2
0,440,6,2,25,,0.6752298660943565,0.22724305283753693,0.9349949854548539,0.33535960993411673,0.6529705452164442,0.025979834777286732,0.04635550636418281,0.00918627356540759,0.06007900291031258,0.07271642273024609,0.7417164584464965,0.29840737636211234,0.9541984732824428,0.42814191220685516,0.7574468085106383,0.01,0.0206913808111479,2
0,260,2,8,30,,0.6428866177563417,0.05737785525567375,0.9901478836669759,0.10590919095715527,0.7409264292390874,0.03454208289640342,0.015473957801574961,0.003223886924960754,0.027345705993365062,0.08699982728997309,0.6920152091254753,0.06202849958088852,0.9939734833266372,0.11544461778471139,0.8314606741573034,0.01,0.026366508987303583,2
0,440,6,2,25,,0.6685223754694731,0.22305482327291698,0.9266611494096966,0.32685068945559564,0.624572642647785,0.028355814386901317,0.047131230448569685,0.011113783445245629,0.06073401032224076,0.07387737999796638,0.7376425855513308,0.2875104777870914,0.9533949377259944,0.41525423728813554,0.7472766884531591,0.01,0.026366508987303583,2
