,n_estimators,min_weight_fraction_leaf,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,ah,ap,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,train_dataset_accuracy,test_dataset_accuracy
0,77,0.2,2,4,0.1,1,True,0.143845,0.069519,0.3835034013605442,0.7068965517241379,0.3113704318936877,0.3984848484848485,0.31493993993993996,0.11196432155682388,0.2391108512955715,0.17284584926281787,0.1775315386044558,0.15447278221113145,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,100,0.2,2,4,0.1,1,True,0.143845,0.069519,0.3681972789115647,0.6637931034482758,0.3363704318936877,0.377683615819209,0.3111111111111111,0.10113329431054625,0.23571977626225094,0.17647808289555383,0.1655012881222871,0.1517388920416407,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,10,0.5,2,4,0.1,1,True,0.143845,0.069519,0.3474702380952381,0.6637931034482758,0.3010714285714286,0.3748534271399637,0.309375,0.11416236936284162,0.23571977626225094,0.1712035974175411,0.16653509673163697,0.1525096289461629,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.5,2,4,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.5,2,4,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.5,2,4,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.5,2,4,0.1,1,True,0.143845,0.069519,0.3474702380952381,0.47916666666666663,0.5700000000000001,0.21904481132075468,0.16354166666666667,0.10263570436917913,0.27716947282604315,0.2547547840571399,0.1623611176088632,0.13113834536473304,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.2,4,4,0.1,1,True,0.143845,0.069519,0.5008503401360545,0.9369458128078818,0.1638704318936877,0.602154459476653,0.4995075578699272,0.12066743004323083,0.036722918222645305,0.07587603662602294,0.13788921216241287,0.1404789169681533,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,32,0.2,4,4,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.2,4,4,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.2,4,4,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.2,4,4,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.5,4,4,0.1,1,True,0.143845,0.069519,0.2760416666666667,0.25,0.6185714285714285,0.04716981132075471,0.026041666666666668,0.0734025831688839,0.25,0.21549973562494634,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.5,4,4,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.5,4,4,0.1,1,True,0.143845,0.069519,0.29644982993197283,0.25,0.6585714285714286,0.04716981132075471,0.026041666666666668,0.08558237569202487,0.25,0.2276215381413858,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.5,4,4,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.5,4,4,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.2,6,4,0.1,1,True,0.143845,0.069519,0.48554421768707484,0.8852216748768473,0.20137043189368772,0.5793478792174307,0.49758448094685026,0.11597405025379152,0.08127680738622284,0.1027942709334104,0.13232259091852785,0.1398448815561519,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,32,0.2,6,4,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.2,6,4,0.1,1,True,0.143845,0.069519,0.5008503401360545,0.9369458128078818,0.1638704318936877,0.602154459476653,0.4995075578699272,0.12066743004323083,0.036722918222645305,0.07587603662602294,0.13788921216241287,0.1404789169681533,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,77,0.2,6,4,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.2,6,4,0.1,1,True,0.143845,0.069519,0.5008503401360545,0.9283251231527093,0.16851328903654486,0.5997835497835498,0.4994637494637495,0.11775599118572419,0.04304899210765322,0.07147199274484826,0.13624350511370922,0.1384495036681189,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,10,0.5,6,4,0.1,1,True,0.143845,0.069519,0.327062074829932,0.5,0.51,0.21383647798742136,0.15104166666666666,0.08732620855037537,0.28867513459481287,0.2830194339616981,0.1573584402917837,0.11888241885951382,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.5,6,4,0.1,1,True,0.143845,0.069519,0.29644982993197283,0.25,0.6585714285714286,0.04716981132075471,0.026041666666666668,0.08558237569202487,0.25,0.2276215381413858,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
