,effect,endpoint,conc1_mean
0,ACC,BCF,3.379814210877983
1,BCM,LOEC,42.108504738340116
2,BCM,NOEC,50.56280997838845
3,BEH,EC50,1170.7075529821961
4,BEH,LOEC,66.00854319408602
5,BEH,NOEC,50.45254214597704
6,CEL,LOEC,36.59515729999999
7,CEL,NOEC,29.23918168421052
8,ENZ,LOEC,96.7802041675418
9,ENZ,NOEC,189.00702796812243
10,GEN,LOEC,29.797110757099194
11,GEN,NOEC,24.81097387382514
12,ITX,EC50,60.90635384615383
13,PHY,LOEC,101.92195136201572
14,PHY,NOEC,109.00357267878456
